image,source,source_version,missing_updates,urgency,status,fixed,debianbug,cve
bayraktar/cassandra,audit,1:2.4-1,0,unimportant,open,undefined,795457,CVE-2015-5186
bayraktar/cassandra,avahi,0.6.31-5,0,unimportant,open,undefined,917047,CVE-2017-6519
bayraktar/cassandra,bash,4.3-11+deb8u1,0,low,open,undefined,undefined,CVE-2019-18276
bayraktar/cassandra,bash,4.3-11+deb8u1,0,not yet assigned,resolved,4.3-11+deb8u2,844727,CVE-2016-9401
bayraktar/cassandra,bash,4.3-11+deb8u1,0,not yet assigned,resolved,4.3-11+deb8u2,undefined,CVE-2019-9924
bayraktar/cassandra,bzip2,1.0.6-7,0,not yet assigned,resolved,1.0.6-7+deb8u1,930886,CVE-2019-12900
bayraktar/cassandra,bzip2,1.0.6-7,0,not yet assigned,resolved,1.0.6-7+deb8u1,827744,CVE-2016-3189
bayraktar/cassandra,coreutils,8.23-4,0,low,open,undefined,816320,CVE-2016-2781
bayraktar/cassandra,coreutils,8.23-4,0,unimportant,open,undefined,undefined,CVE-2017-18018
bayraktar/cassandra,cryptsetup,2:1.6.6-5,0,unimportant,open,undefined,undefined,CVE-2016-4484
bayraktar/cassandra,cups,1.7.5-11+deb8u2,0,not yet assigned,resolved,1.7.5-11+deb8u4,903605,CVE-2018-6553
bayraktar/cassandra,cups,1.7.5-11+deb8u2,0,not yet assigned,resolved,1.7.5-11+deb8u5,934957,CVE-2019-2180
bayraktar/cassandra,cups,1.7.5-11+deb8u2,0,not yet assigned,resolved,1.7.5-11+deb8u3,undefined,CVE-2017-18248
bayraktar/cassandra,cups,1.7.5-11+deb8u2,0,not yet assigned,resolved,1.7.5-11+deb8u6,915909,CVE-2018-4300
bayraktar/cassandra,cups,1.7.5-11+deb8u2,0,not yet assigned,resolved,1.7.5-11+deb8u7,946782,CVE-2019-2228
bayraktar/cassandra,cups,1.7.5-11+deb8u2,0,not yet assigned,resolved,1.7.5-11+deb8u3,undefined,CVE-2017-18190
bayraktar/cassandra,cups,1.7.5-11+deb8u2,0,unimportant,open,undefined,undefined,CVE-2014-8166
bayraktar/cassandra,cups,1.7.5-11+deb8u2,0,not yet assigned,resolved,1.7.5-11+deb8u5,934957,CVE-2019-8675
bayraktar/cassandra,cups,1.7.5-11+deb8u2,0,not yet assigned,resolved,1.7.5-11+deb8u4,undefined,CVE-2018-4181
bayraktar/cassandra,cups,1.7.5-11+deb8u2,0,not yet assigned,resolved,1.7.5-11+deb8u4,undefined,CVE-2018-4180
bayraktar/cassandra,cups,1.7.5-11+deb8u2,0,not yet assigned,resolved,1.7.5-11+deb8u5,934957,CVE-2019-8696
bayraktar/cassandra,dbus,1.8.22-0+deb8u1,0,not yet assigned,resolved,1.8.22-0+deb8u2,930375,CVE-2019-12749
bayraktar/cassandra,dpkg,1.17.27,0,unimportant,open,undefined,undefined,CVE-2017-8283
bayraktar/cassandra,e2fsprogs,1.42.12-2,0,not yet assigned,resolved,1.42.12-2+deb8u1,941139,CVE-2019-5094
bayraktar/cassandra,e2fsprogs,1.42.12-2,0,not yet assigned,open,undefined,948508,CVE-2019-5188
bayraktar/cassandra,file,1:5.22+15-2+deb8u3,1,not yet assigned,resolved,1:5.22+15-2+deb8u5,922968,CVE-2019-8907
bayraktar/cassandra,file,1:5.22+15-2+deb8u3,1,not yet assigned,resolved,1:5.22+15-2+deb8u5,922968,CVE-2019-8905
bayraktar/cassandra,file,1:5.22+15-2+deb8u3,1,not yet assigned,resolved,1:5.22+15-2+deb8u6,942830,CVE-2019-18218
bayraktar/cassandra,file,1:5.22+15-2+deb8u3,1,not yet assigned,resolved,1:5.22+15-2+deb8u4,901351,CVE-2018-10360
bayraktar/cassandra,gcc-4.8,4.8.4-1,0,not yet assigned,open,undefined,undefined,CVE-2018-12886
bayraktar/cassandra,gcc-4.8,4.8.4-1,0,not yet assigned,open,undefined,undefined,CVE-2017-11671
bayraktar/cassandra,gcc-4.9,4.9.2-10,0,not yet assigned,open,undefined,undefined,CVE-2018-12886
bayraktar/cassandra,gcc-4.9,4.9.2-10,0,not yet assigned,open,undefined,undefined,CVE-2015-5276
bayraktar/cassandra,gcc-4.9,4.9.2-10,0,not yet assigned,open,undefined,undefined,CVE-2017-11671
bayraktar/cassandra,gnutls28,3.3.8-6+deb8u7,0,unimportant,open,undefined,645881,CVE-2011-3389
bayraktar/cassandra,gnutls28,3.3.8-6+deb8u7,0,not yet assigned,open,undefined,undefined,CVE-2018-16868
bayraktar/cassandra,gnutls28,3.3.8-6+deb8u7,0,not yet assigned,resolved,3.3.30-0+deb8u1,undefined,CVE-2018-10844
bayraktar/cassandra,gnutls28,3.3.8-6+deb8u7,0,not yet assigned,resolved,3.3.30-0+deb8u1,undefined,CVE-2018-10845
bayraktar/cassandra,gnutls28,3.3.8-6+deb8u7,0,not yet assigned,resolved,3.3.30-0+deb8u1,undefined,CVE-2018-10846
bayraktar/cassandra,inetutils,2:1.9.2.39.3a460-3,0,low,open,undefined,945861,CVE-2019-0053
bayraktar/cassandra,krb5,1.12.1+dfsg-19+deb8u4,0,unimportant,open,undefined,278271,CVE-2004-0971
bayraktar/cassandra,krb5,1.12.1+dfsg-19+deb8u4,0,not yet assigned,resolved,1.12.1+dfsg-19+deb8u5,891869,CVE-2018-5730
bayraktar/cassandra,krb5,1.12.1+dfsg-19+deb8u4,0,not yet assigned,resolved,1.12.1+dfsg-19+deb8u5,891869,CVE-2018-5729
bayraktar/cassandra,krb5,1.12.1+dfsg-19+deb8u4,0,low,open,undefined,873563,CVE-2017-11462
